"timestamp","session_id","request_id","tag_id","domain_string","url_string","device_type","browser_brand","lcp","fcp","cls","inp","ttfb"
"2024-03-28 06:04:34.77486","d0a87605-c80e-4609-8f0b-16c8a1da20e7","1e0be1eb-9a30-49af-8567-ff1883849638","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",79,79,"0.4037042812003282",56,6
"2024-03-28 06:04:44.825742","c6c1aa51-aca8-48ca-bca9-0ed217e802b0","a3358088-d997-4198-b990-4d60d50d411c","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",77,77,"0.2854433765399812",64,6
"2024-03-28 06:17:39.70373","4fc28e2f-bb27-4e98-91db-bc4dca09c771","50bd50a6-c9e9-48c5-b9d0-30d5d3fa0986","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",384,384,"0.00037623086155386034",80,0
"2024-03-28 06:18:11.712676","e141dfb2-bdf6-4dcf-b2fa-ea816ad3e4ea","9f6cf13d-5431-436d-8c05-7ead68529c49","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",141,141,"0",64,0
"2024-03-28 07:19:41.260659","edf58bda-8209-424a-a2bd-9e219fb4c1f1","e747ab3b-567d-4782-b276-4c575f063b17","cGbonAJm","auditzy.com","/","desktop","Google Chrome",900,900,"0.03503277334641964",16,722
"2024-03-28 08:09:45.23983","fa0c89f2-53f4-4ba6-a233-75e48c37175a","a5a5a9c1-5c7c-45e8-a0aa-f7bc6a79ca5f","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",177,177,"0",48,0
"2024-03-28 08:23:22.893779","45e5ef1d-8d67-4b4b-afb2-30cc2d4570f2","4d8e11f8-60f1-477b-a798-37dcb696725b","cGbonAJm","auditzy.com","/","desktop","Google Chrome",781,781,"0",8,203
"2024-03-28 09:19:54.091675","93b091ec-9e14-4f24-861d-d1f9a5109316","e0fb00b5-fbd7-4505-909f-f6d16e53189e","cGbonAJm","auditzy.com","/","desktop","Chromium",354,354,"0.054353329300085206",48,220
"2024-03-28 18:24:33.39547","511bd26a-805c-4f5f-b30d-ec1c18fc2e0b","4f995f06-cb40-4621-8e40-40501455454a","cGbonAJm","auditzy.com","/","mobile","Google Chrome",3281,3281,"0.2551061998466648",64,2313
"2024-03-29 01:27:04.050657","7b070881-f9cf-46c1-8003-acdeadb80b4f","2758aae9-1e43-4416-a0ae-e83ac3c13fe4","cGbonAJm","auditzy.com","/blog/check-website-core-web-vitals-history","desktop","Google Chrome",615,615,"0.15174299708908578",8,56
"2024-03-29 01:26:54.038766","5b8279d5-2c83-4c7b-89e7-66e854b2e909","50dc17a9-65ba-4d27-aacf-28e4d560b698","cGbonAJm","auditzy.com","/features/core-web-vital-checker","desktop","Google Chrome",594,535,"0.033990588107931714",16,276
"2024-03-29 06:31:22.79012","0c554b94-0723-48de-957e-437e907888e3","07012875-3f7f-40f7-8b10-dd1c9e8b3d9d","cGbonAJm","auditzy.com","/features/website-technology-checker","desktop","Google Chrome",2457,2457,"0.031062383736548366",96,310
"2024-03-29 07:05:24.597281","283f6495-1e27-41ec-abe5-7ed09e1c7306","e967dc9b-1f42-497c-ba74-8095361b646f","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",756,756,"0.21437112881483175",96,291
"2024-03-29 08:01:13.271436","6afdb46b-ce11-4b73-b9a5-618b651e3fd4","622a8323-b557-42bd-9bdd-d9cee5c5e7b9","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",552,552,"0.2479019334079645",80,216
"2024-03-29 09:06:53.996273","cae9a540-1344-4994-8831-23ab7c24565b","5e112b76-1de8-4931-b7cd-378ea283d7dd","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",776,776,"0.2169533924922095",128,319
"2024-03-29 09:25:03.498572","b7f7aae7-4db6-432a-9f08-243ba8c6ee28","017ad2ab-aee3-4a34-9c6c-3e093bdd345a","cGbonAJm","auditzy.com","/features/core-web-vital-checker/report","desktop","Google Chrome",1150,1150,"0.3854392227691631",272,438
"2024-03-29 09:53:47.182788","9e8c094a-5970-4e22-adab-9d952c96340e","29675c53-a4ba-4876-b6c0-2f58b6db62a2","cGbonAJm","auditzy.com","/blog/why-lighthouse-performance-score-and-page-speed-insights-performance-scores-keeps-changing-understand-score-variance","desktop","Google Chrome",613,613,"0.017909373582147073",8,271
